Tags,Oznake
<h5>Message Example</h5><pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;&lt;!-- show last comment --&gt;{% if comments %}Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}{% endif %}&lt;h4&gt;Details&lt;/h4&gt;&lt;ul&gt;&lt;li&gt;Customer: {{ doc.customer }}&lt;li&gt;Amount: {{ doc.grand_total }}&lt;/ul&gt;</pre>,<h5> Message Primer </ h5>  <pre> & lt; h3 & gt; Order Overdue & lt; / h3 & gt;  & lt; p & gt; Transaction {{doc.name}} premašio Due Date . Molimo Vas da preduzmu potrebne mere & lt; / p & gt;  & lt; - pokazuju poslednji komentar - & gt;  {% ako komentari%}  Poslednja komentar:.! {{Komentari [-1] .comment}} od {{komentarima [-1] .bi}}  {% eNDIF%}  & lt; h4 & gt; Detalji & lt; / h4 & gt;  & lt; ul & gt; |  & lt; li & gt; klijenta: {{doc.customer}}  & lt; li & gt; Amount: {{doc.grand_total}}  & lt; / ul & gt;  </ pre>
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<Oznaka stile=""kontrola-oznaka"" class=""font-size: 0pk;""> Broj računa Podešavanja </ oznaka>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<Label class=""control-label"" stile=""margin-bottom: 0pk;""> iznos slovima </ label>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<Oznaka stile=""kontrola-oznaka"" class=""font-size: 0pk;""> Data Podešavanja </ oznaka>"
"<p><strong>Condition Examples:</strong></p><pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000</pre>","<P> <strong> Stanje Primeri: </ strong> </ p>  <pre> doc.status == ""Open"" skačati doc.due_date == novdate () <br> doc.total & gt; 40000  </ pre>"
"<p><strong>Condition Examples:</strong></p><pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000</pre>","<P> <strong> Stanje Primeri: </ strong> </ p>  <pre> doc.status == ""Open"" skačati doc.due_date == novdate () <br> doc.total & gt; 40000  </ pre> "
"<p>Set context before rendering a template. Example:</p><p></p><div><pre><code>context.project=frappe.get_doc(""Project""","<S> set kontekst prije donošenja šablon. Primer: </ p> <p>  </ p> <p> <pre> <code>  contekt.project=frappe.get_doc ( ""Project"""
<pre><code>doc.grand_total &gt; 0</code></pre><p>Conditions should be written in simple Python. Please use properties available in the form only.</p><p>Allowed functions: </p><ul><li>frappe.db.get_value</li><li>frappe.db.get_list</li><li>frappe.session</li><li>frappe.utils.now_datetime</li><li>frappe.utils.get_datetime</li><li>frappe.utils.add_to_date</li><li>frappe.utils.now</li></ul><p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(),<Pre> <code> doc.grand_total & gt; 0 </ kod> </ pre>  <s> Uslovi treba da budu napisani na jednostavan Pithon. Molimo koristite svojstva dostupne samo u obliku </ p>  <p> Dozvoljene funkcije:.  </ p> <ul>  <li> frappe.db.get_value </ li>  <li> frappe.db.get_list </ li>  <li> frappe.session </ li>  <li> frappe.utils.nov_datetime </ li>  <li> frappe.utils. get_datetime </ li>  <li> frappe.utils.add_to_date </ li>  <li> frappe.utils.nov </ li>  </ ul>  <p> Primer: </ p> <pre> <code> doc.creation & gt; frappe.utils.add_to_date (frappe.utils.nov_datetime ()
<pre><h5>Message Example</h5>&lt;p&gt; Thank You for being a part of {{ doc.company }}! We hope you are enjoying the service.&lt;/p&gt;&lt;p&gt; Please find enclosed the E Bill statement. The outstanding amount is {{ doc.grand_total }}.&lt;/p&gt;&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br>After all,<Pre> <h5> Message Ekample </ h5>  & lt; p & gt; Hvala što ste deo {{doc.compani}}! Nadamo se da uživate uslugu. & Lt; / p & gt;  & LT; p & gt; U prilogu vam dostavljamo u saopštenju e Bil. Preostali iznos je {{doc.grand_total}}. & Lt; / p & gt;  & lt; p & gt; Mi ne želimo da se provodite vreme radi oko kako bi plate za vaš račun. <br> Uostalom
<pre><h5>Message Example</h5>&lt;p&gt;Dear {{ doc.contact_person }},<Pre> <h5> Message Ekample </ h5>  & lt; p & gt; Draga {{doc.contact_person}}
A BOM with name {0} already exists for item {1}.,BOM sa imenom {0} već postoji za stavku {1}.
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Za kupca grupa postoji sa istim imenom promenite ime kupca ili preimenovali korisničku grupu
A Default Service Level Agreement already exists.,Podrazumevani servis nivo sporazum već postoji.
A Distributed Cost Center cannot be added in the Distributed Cost Center allocation table.,A Distributed troškova centar ne može da se doda u Distributed Cost centra tabeli raspodele.
A Lead requires either a person's name or an organization's name,Olovo zahteva ili ime osobe ili ime jedne organizacije
A Lead with this Email Address should exist,Prednost Ova adresa treba da postoji
A Negative,negativna
A Positive,Pozitivan
A Product or a Service that is bought,Proizvod ili uslugu koja je kupila
A condition for a Shipping Rule,Uslov za Shipping pravilo
A customer is already linked to this Member,Kupac je već povezan sa ovim Member
A customer with the same name already exists,Kupac sa istim imenom već postoji
A featured post must have a cover image,Izbrana poruka mora imati naslovnu sliku
A field with the name '{}' already exists in doctype {}.,Polje sa nazivom '{}' već postoji u DOCTIPE {}.
A friendly reminder of an important date for our team.,Prijateljska podsećanje na važan datum za naš tim.
A link to all the Locations in which the Crop is growing,Link ka svim lokacijama u kojima useva raste
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Lista resursa koji će klijent aplikacija ima pristup nakon što korisnik to dozvoljava. <br> npr projekat
A logical Warehouse against which stock entries are made.,Logično Magacin protiv kojih stock stavke su napravljeni.
A name by which you will identify this template. You can change this later.,", Ime kojim ćete identifikovati ovaj šablon. Možete kasnije promeniti."
A new account has been created for you at {0},Novi nalog je napravljen za vas na {0}
A new appointment has been created for you with {0},Novi termin je stvoren za vas sa {0}
A question must have more than one options,Pitanje mora da ima više od opcija
A qustion must have at least one correct options,Kustion mora da ima najmanje jednu ispravnu opcije
A recurring {0} {1} has been created for you via Auto Repeat {2}.,Periodičnog {0} {1} je stvorena za vas preko Auto Repeat {2}.
A symbol for this currency. For e.g. $,Simbol za ovu valutu. Za npr $
A template with tax category {0} already exists. Only one template is allowed with each tax category,Šablon sa poreskom kategorije {0} već postoji. Samo jedan šablon je dozvoljeno uz svaku poresku kategoriju
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Treće lice distributer / diler / komisija Agent / partner / distributer koji prodaje proizvode kompanije za proviziju.
A word by itself is easy to guess.,Reč po sebi je lako pogoditi.
A {0} exists between {1} and {2} (,A {0} postoji između {1} ​​i {2} (
A+,A +
A-,A-
A4,A4
AB Negative,AB negativna
AB Positive,AB Pozitivna
AB+,B +
AB-,AB-
ACC-AML-.YYYY.-,LCS-AML-.IIII.-
ACC-ASR-.YYYY.-,LCS-AAR-.IIII.-
ACC-ASS-.YYYY.-,LCS-ASS .IIII.-
ACC-BTN-.YYYY.-,LCS-BTN-.IIII.-
ACC-CF-.YYYY.-,LCS-CF .IIII.-
ACC-JV-.YYYY.-,ACC S.P.-.IIII.-
ACC-PAY-.YYYY.-,LCS-pai-.IIII.-
ACC-PINV-.YYYY.-,ACC PINV-.IIII.-
ACC-PINV-RET-.YYYY.-,ACC PINV-POV-.IIII.-
ACC-PRQ-.YYYY.-,ACC PRK-.IIII.-
ACC-PSINV-.YYYY.-,ACC PSINV-.IIII.-
ACC-SH-.YYYY.-,LCS-H-.IIII.-
ACC-SINV-.YYYY.-,ACC SINV-.IIII.-
